,splice_acceptor,splice_donor,inframe_deletion,start_lost,protein_altering,frameshift,inframe_insertion,missense_variant,stop_lost,splice_region,stop_gained
Apolipoprotein_A,0.007978834054108201,0.0028583354143691918,0.009543826445244635,0.015299217496067283,0.0,0.04896789424213164,0.007222632332556343,0.014262448879799295,0.0034930209318796792,0.006198353000875594,0.016712754478303605
Apolipoprotein_B,0.006420265074301531,0.004445962020334443,0.013384141360071239,0.02249485081276641,0.0,0.042860574489152724,0.00847031635342284,0.014438120538434513,0.005753522117932637,0.006421845328848684,0.01841046893749312
Calcium,0.006246182653639052,0.0028598571834326895,0.0,0.020053585680822533,0.0,0.06869043316155549,0.005300063401001034,0.016503484894455623,0.0,0.0038588877834593326,0.020070181898686482
Cholesterol_statin_corrected,0.0063360655801428896,0.0036852450361346055,0.011648521401038893,0.016209705701718726,0.0,0.04094028961115297,0.00658916220305636,0.014879416145754491,0.006778555942906273,0.006853051345365011,0.01608252095860548
Red_blood_cell_erythrocyte_count,0.001992462158557914,0.0006996508953826768,0.0039964468415939446,0.0,0.0,0.011651197008111258,0.0028402507305145264,0.007441500708095217,0.0023335833102464676,0.0010981032157161823,0.0028044912969345114
HDL_cholesterol,0.010804881734889242,0.003408076928740559,0.008654655486443784,0.02227170168036463,0.0,0.05585492136009974,0.005208870112572026,0.013078230473852414,0.005362984344915107,0.005720258666826953,0.017508684917206026
IGF_1,0.0,0.005052631720900536,0.006122073158621788,0.0,0.0,0.06985935745207299,0.020396461313043443,0.019474308997615444,0.008754489943385124,0.007199580917729312,0.017439459473074927
LDL_direct_statin_corrected,0.006060763233696403,0.00395988637995892,0.011910699165727928,0.019175550637718957,0.0,0.04139689604095378,0.0074437213902094216,0.01481585528033189,0.006226190676291783,0.006506993142169337,0.016829463010070267
Lymphocyte_percentage,0.0023088240351099225,0.0016118808590906595,0.005573676153849787,0.00913807868750559,0.0,0.01767708358402322,0.004584197886288166,0.007805247755850876,0.00036176569050266633,0.002093340057068963,0.0048910769311827475
Mean_platelet_thrombocyte_volume,0.0036128454155661123,0.002235756579872643,0.011154960766716246,0.008804385134806999,7.160504659016927e-05,0.03651070863728876,0.0069957297778610456,0.01346232697537169,0.01047461082537969,0.00364893321565926,0.01745522273274761
Mean_corpuscular_volume,0.0037248443481120775,0.0012309357546092497,0.002422819829321113,0.004293844455898535,0.0,0.032310263458822874,0.009663591706927972,0.012033967302864572,0.002200241676635212,0.003999425403823993,0.011184140358648112
Mean_reticulocyte_volume,0.0025167402259453574,0.0007619110626823029,0.0027096707745103347,0.004012787186851104,0.0,0.008930364244480479,0.004276362142991274,0.0035433542117911444,0.0009836751657227676,0.001570931656234575,0.001967423560225566
Neutrophill_count,0.00098770253715061,0.000447910417009283,0.0010455835748601843,0.055895693910618625,0.0,0.02524281826077236,0.0,0.018406493257068394,0.0002139303833246231,0.005067119624297192,0.001617609350769608
Platelet_count,0.006057914455112748,0.004282108591597157,0.015250710137174016,0.012031630035808198,0.0,0.047595182718581784,0.008645836967894787,0.018653907113005307,0.0,0.004761903657183926,0.020375723035529713
Platelet_crit,0.005951811265598117,0.003918658876030264,0.011611106558339896,0.013345924619999195,0.0,0.03492324608942582,0.0058699931770372854,0.015277906908022785,0.0,0.004155547236158423,0.014615690663733869
Platelet_distribution_width,0.005525765877399435,0.0009321466559547671,0.011339609835909918,0.0064983496028516025,0.0,0.031326245723939,0.003636710762363462,0.011771629496686538,0.0006208750936720107,0.0018176285102894597,0.016990213152430312
SHBG,0.021165116724592665,0.004240315446136018,0.0037615795930226645,0.0,0.0,0.015272806833528883,0.002194420744975408,0.0036105452391793046,0.0023256720354159675,0.008548496463788078,0.014727081896530261
Standing_height,0.006228067727375126,0.0011908129861802038,0.00395344371700938,0.005609052669670847,0.0,0.016999827785905693,0.002864977358567594,0.004868249134353057,0.0006144366537531217,0.0038848427810525246,0.004243023427017155
Total_bilirubin,0.0022076628632817746,0.0012552187037924388,0.0042093976407281694,0.02097170659237438,0.0,0.027249395987810312,0.004608606252791274,0.006768789363543036,0.0004179447337433144,0.002370973758882965,0.009636763016666664
Triglycerides,0.011400098656304182,0.0058391949335839695,0.012875137024273167,0.024763422707716625,0.0,0.05512199294398684,0.009206691589106315,0.017350487017519154,0.0,0.006221155193530237,0.01841867684174565
Urate,0.005479372117099795,0.004473859941521513,0.006414221067731139,0.024631505879288956,0.0,0.04963028014960295,0.011485612785989398,0.011507372704704167,0.0,0.0033293320050013,0.016709694204562267
